Symbols,Company_Names,Sectors,Industry,Short_Names
CHEVIOT,Cheviot Company Limited,Manufacturing,Manufacturing,ChCoLi
CHOICEIN,Choice International Limited,Services,Services,ChInLi
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,Financial Services,ChInanFiCoLi
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Financial Services,Financial Services,ChFiHoLi
CIEINDIA,CIE Automotive India Limited,Automotive,Automotive,CIAuInLi
CIGNITITEC,Cigniti Technologies Limited,IT Services,Technology,CiTeLi
CINELINE,Cineline India Limited,Media,Media,CiInLi
CINEVISTA,Cinevista Limited,Media,Media,CiLi
CIPLA,Cipla Limited,Pharmaceuticals,Healthcare,CiLi
CLEAN,Clean Science and Technology Limited,Specialty Chemicals,Chemicals,ClScanTeLi
CLEDUCATE,CL Educate Limited,Education Services,Services,CLEdLi
CLSEL,Chaman Lal Setia Exports Limited,Textiles,Manufacturing,ChLaSeExLi
CMICABLES,CMI Limited,Electrical Equipment,Manufacturing,CMLi
CMSINFO,CMS Info Systems Limited,IT Services,Technology,CMInSyLi
COALINDIA,Coal India Limited,Mining,Energy,CoInLi
COASTCORP,Coastal Corporation Limited,Fisheries,Agriculture,CoCoLi
COCHINSHIP,Cochin Shipyard Limited,Shipbuilding,Manufacturing,CoShLi
COFFEEDAY,Coffee Day Enterprises Limited,Beverages,Consumer Goods,CoDaEnLi
COFORGE,Coforge Limited,IT Services,Technology,CoLi
COLPAL,Colgate Palmolive (India) Limited,Personal Care,Consumer Goods,CoPa_ILi
COMPINFO,Compuage Infocom Limited,IT Services,Technology,CoInLi
COMPUSOFT,Compucom Software Limited,IT Services,Technology,CoSoLi
COMSYN,Commercial Syn Bags Limited,Packaging,Manufacturing,CoSyBaLi
CONCOR,Container Corporation of India Limited,Logistics,Transportation,CoCoofInLi
CONCORDBIO,Concord Biotech Limited,Biotechnology,Healthcare,CoBiLi
CONFIPET,Confidence Petroleum India Limited,Oil & Gas,Energy,CoPeInLi
CONSOFINVT,Consolidated Finvest & Holdings Limited,Financial Services,Finance,CoFi_HoLi
CONTROLPR,Control Print Limited,Printing,Manufacturing,CoPrLi
CORALFINAC,Coral India Finance & Housing Limited,Finance,Finance,CoInFi_HoLi
CORDSCABLE,Cords Cable Industries Limited,Electrical Equipment,Manufacturing,CoCaInLi
COROMANDEL,Coromandel International Limited,Fertilizers,Agriculture,CoInLi
COSMOFIRST,COSMO FIRST LIMITED,Specialty Chemicals,Chemicals,COFILI
COUNCODOS,Country Condo's Limited,Real Estate,Real Estate,CoCoLi
CRAFTSMAN,Craftsman Automation Limited,Engineering,Manufacturing,CrAuLi
CREATIVE,Creative Newtech Limited,IT Services,Technology,CrNeLi
CREATIVEYE,Creative Eye Limited,Media,Media,CrEyLi
CREDITACC,CREDITACCESS GRAMEEN LIMITED,Financial Services,Finance,CRGRLI
CREST,Crest Ventures Limited,Financial Services,Finance,CrVeLi
CRISIL,CRISIL Limited,Research & Ratings,Finance,CRLi
CROMPTON,Crompton Greaves Consumer Electricals Limited,Electrical Equipment,Manufacturing,CrGrCoElLi
CROWN,Crown Lifters Limited,Machinery,Manufacturing,CrLiLi
CSBBANK,CSB Bank Limited,Banking,Finance,CSBaLi
CSLFINANCE,CSL Finance Limited,Financial Services,Finance,CSFiLi
CTE,Cambridge Technology Enterprises Limited,IT Services,Technology,CaTeEnLi
CUB,City Union Bank Limited,Banking,Finance,CiUnBaLi
CUBEXTUB,Cubex Tubings Limited,Manufacturing,Manufacturing,CuTuLi
CUMMINSIND,Cummins India Limited,Engine Manufacturing,Manufacturing,CuInLi
CUPID,Cupid Limited,Manufacturing,Manufacturing,CuLi
CYBERMEDIA,Cyber Media (India) Limited,Media,Media,CyMe_ILi
CYBERTECH,Cybertech Systems And Software Limited,IT Services,Technology,CySyAnSoLi
CYIENT,Cyient Limited,IT Services,Technology,CyLi
CYIENTDLM,Cyient DLM Limited,IT Services,Technology,CyDLLi
DABUR,Dabur India Limited,Consumer Goods,Consumer Goods,DaInLi
DALBHARAT,Dalmia Bharat Limited,Cement,Manufacturing,DaBhLi
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Sugar Production,Agriculture,DaBhSuanInLi
DAMODARIND,Damodar Industries Limited,Manufacturing,Manufacturing,DaInLi
DANGEE,Dangee Dums Limited,Food Processing,Consumer Goods,DaDuLi
DATAMATICS,Datamatics Global Services Limited,IT Services,Technology,DaGlSeLi
DATAPATTNS,Data Patterns (India) Limited,IT Services,Technology,DaPa_ILi
DAVANGERE,Davangere Sugar Company Limited,Sugar Production,Agriculture,DaSuCoLi
DBCORP,D.B.Corp Limited,Media,Media,D.Li
DBL,Dilip Buildcon Limited,Construction,Construction,DiBuLi
DBOL,Dhampur Bio Organics Limited,Food Processing,Consumer Goods,DhBiOrLi
DBREALTY,D B Realty Limited,Real Estate,Real Estate,DBReLi
DBSTOCKBRO,DB (International) Stock Brokers Limited,Financial Services,Finance,DB_IStBrLi
DCAL,Dishman Carbogen Amcis Limited,Pharmaceuticals,Healthcare,DiCaAmLi
DCBBANK,DCB Bank Limited,Banking,Finance,DCBaLi
DCI,DC Infotech And Communication Limited,IT Services,Technology,DCInAnCoLi
DCM,DCM Limited,Conglomerate,Diversified,DCLi
DCMFINSERV,DCM Financial Services Limited,Financial Services,Finance,DCFiSeLi
DCMNVL,DCM Nouvelle Limited,Conglomerate,Diversified,DCNoLi
DCMSHRIRAM,DCM Shriram Limited,Conglomerate,Diversified,DCShLi
DCMSRIND,DCM Shriram Industries Limited,Manufacturing,Manufacturing,DCShInLi
DCW,DCW Limited,Chemicals,Chemicals,DCLi
DCXINDIA,DCX Systems Limited,IT Services,Technology,DCSyLi
DECCANCE,Deccan Cements Limited,Cement,Manufacturing,DeCeLi
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Chemicals,Chemicals,DeFeanPeCoLi
DEEPAKNTR,Deepak Nitrite Limited,Chemicals,Chemicals,DeNiLi
DEEPENR,DEEP ENERGY RESOURCES LIMITED,Energy,Energy,DEENRELI
DEEPINDS,Deep Industries Limited,Manufacturing,Manufacturing,DeInLi
DELHIVERY,Delhivery Limited,Logistics,Transportation,DeLi
DELPHIFX,DELPHI WORLD MONEY LIMITED,Financial Services,Finance,DEWOMOLI
DELTACORP,Delta Corp Limited,Entertainment,Services,DeCoLi
DELTAMAGNT,Delta Manufacturing Limited,Manufacturing,Manufacturing,DeMaLi
DEN,Den Networks Limited,Telecommunications,Technology,DeNeLi
DENORA,De Nora India Limited,Water Treatment,Chemicals,DeNoInLi
DEVIT,Dev Information Technology Limited,IT Services,Technology,DeInTeLi
DEVYANI,Devyani International Limited,Food Services,Consumer Goods,DeInLi
DGCONTENT,Digicontent Limited,Media,Media,DiLi
DHAMPURSUG,Dhampur Sugar Mills Limited,Sugar Production,Agriculture,DhSuMiLi
DHANBANK,Dhanlaxmi Bank Limited,Banking,Finance,DhBaLi
DHANI,Dhani Services Limited,Financial Services,Finance,DhSeLi
DHANUKA,Dhanuka Agritech Limited,Agriculture,Agriculture,DhAgLi
DHARMAJ,Dharmaj Crop Guard Limited,Agriculture,Agriculture,DhCrGuLi
DHRUV,Dhruv Consultancy Services Limited,Consulting,Services,DhCoSeLi
DHUNINV,Dhunseri Investments Limited,Financial Services,Finance,DhInLi
DIACABS,Diamond Power Infrastructure Limited,Infrastructure,Engineering,DiPoInLi
DIAMINESQ,Diamines & Chemicals Limited,Chemicals,Chemicals,Di_ChLi
DIAMONDYD,Prataap Snacks Limited,Food Processing,Consumer Goods,PrSnLi
DICIND,DIC India Limited,Chemicals,Chemicals,DIInLi
DIGIDRIVE,Digidrive Distributors Limited,IT Services,Technology,DiDiLi
DIGISPICE,DiGiSPICE Technologies Limited,IT Services,Technology,DiTeLi
DIGJAMLMTD,Digjam Limited,Textiles,Manufacturing,DiLi
DIL,Debock Industries Limited,Manufacturing,Manufacturing,DeInLi
DISHTV,Dish TV India Limited,Media,Media,DiTVInLi
DIVGIITTS,Divgi Torqtransfer Systems Limited,Engineering,Manufacturing,DiToSyLi
DIVISLAB,Divi's Laboratories Limited,Pharmaceuticals,Healthcare,DiLaLi
DIXON,Dixon Technologies (India) Limited,Electronics,Manufacturing,DiTe_ILi
DJML,DJ Mediaprint & Logistics Limited,Media,Media,DJMe_LoLi
DLF,DLF Limited,Real Estate,Real Estate,DLLi
DLINKINDIA,D-Link (India) Limited,Electronics,Manufacturing,D-_ILi
DMART,Avenue Supermarts Limited,Retail,Consumer Goods,AvSuLi
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,Chemicals,Chemicals,DMSPCHLI
DNAMEDIA,Diligent Media Corporation Limited,Media,Media,DiMeCoLi
DODLA,Dodla Dairy Limited,Dairy,Agriculture,DoDaLi
DOLATALGO,Dolat Algotech Limited,Financial Services,Finance,DoAlLi
DOLLAR,Dollar Industries Limited,Apparel,Consumer Goods,DoInLi
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,Offshore Services,Services,DoOfEn_ILi
DOMS,DOMS Industries Limited,Stationery,Consumer Goods,DOInLi
DONEAR,Donear Industries Limited,Textiles,Manufacturing,DoInLi
DPABHUSHAN,D. P. Abhushan Limited,Jewelry,Consumer Goods,D.P.AbLi
DPSCLTD,DPSC Limited,Energy,Energy,DPLi
DPWIRES,D P Wires Limited,Manufacturing,Manufacturing,DPWiLi
DRCSYSTEMS,DRC Systems India Limited,IT Services,Technology,DRSyInLi
DREAMFOLKS,Dreamfolks Services Limited,Hospitality,Services,DrSeLi
DREDGECORP,Dredging Corporation of India Limited,Dredging,Infrastructure,DrCoofInLi
DRREDDY,Dr. Reddy's Laboratories Limited,Pharmaceuticals,Healthcare,DrReLaLi
DSSL,Dynacons Systems & Solutions Limited,IT Services,Technology,DySy_SoLi
DTIL,Dhunseri Tea & Industries Limited,Tea Production,Agriculture,DhTe_InLi
DUCON,Ducon Infratechnologies Limited,Infrastructure,Engineering,DuInLi
DVL,Dhunseri Ventures Limited,Investment,Finance,DhVeLi
DWARKESH,Dwarikesh Sugar Industries Limited,Sugar Production,Agriculture,DwSuInLi
DYCL,Dynamic Cables Limited,Electrical Equipment,Manufacturing,DyCaLi
DYNAMATECH,Dynamatic Technologies Limited,Engineering,Manufacturing,DyTeLi
DYNPRO,Dynemic Products Limited,Chemicals,Chemicals,DyPrLi
E2E,E2E Networks Limited,IT Services,Technology,E2NeLi
EASEMYTRIP,Easy Trip Planners Limited,Travel,Services,EaTrPlLi
ECLERX,eClerx Services Limited,IT Services,Technology,eCSeLi
EDELWEISS,Edelweiss Financial Services Limited,Financial Services,Finance,EdFiSeLi
EDUCOMP,Educomp Solutions Limited,Education Services,Services,EdSoLi
EICHERMOT,Eicher Motors Limited,Automotive,Manufacturing,EiMoLi
EIDPARRY,EID Parry India Limited,Sugar Production,Agriculture,EIPaInLi
EIFFL,Euro India Fresh Foods Limited,Food Processing,Consumer Goods,EuInFrFoLi
EIHAHOTELS,EIH Associated Hotels Limited,Hospitality,Services,EIAsHoLi
EIHOTEL,EIH Limited,Hospitality,Services,EILi
EIMCOELECO,Eimco Elecon (India) Limited,Engineering,Manufacturing,EiEl_ILi
EKC,Everest Kanto Cylinder Limited,Engineering,Manufacturing,EvKaCyLi
ELDEHSG,Eldeco Housing And Industries Limited,Real Estate,Real Estate,ElHoAnInLi
ELECON,Elecon Engineering Company Limited,Engineering,Manufacturing,ElEnCoLi
ELECTCAST,Electrosteel Castings Limited,Manufacturing,Manufacturing,ElCaLi
ELECTHERM,Electrotherm (India) Limited,Manufacturing,Manufacturing,El_ILi
ELGIEQUIP,Elgi Equipments Limited,Engineering,Manufacturing,ElEqLi
ELGIRUBCO,Elgi Rubber Company Limited,Manufacturing,Manufacturing,ElRuCoLi
ELIN,Elin Electronics Limited,Electronics,Manufacturing,ElElLi
EMAMILTD,Emami Limited,Consumer Goods,Consumer Goods,EmLi
EMAMIPAP,Emami Paper Mills Limited,Paper,Manufacturing,EmPaMiLi
EMAMIREAL,Emami Realty Limited,Real Estate,Real Estate,EmReLi
EMIL,Electronics Mart India Limited,Retail,Consumer Goods,ElMaInLi
EMKAY,Emkay Global Financial Services Limited,Financial Services,Finance,EmGlFiSeLi
EMMBI,Emmbi Industries Limited,Manufacturing,Industrial,EmInLi
EMLIMITED,EMS Limited,Manufacturing,Industrial,EMLi
EMUDHRA,eMudhra Limited,Technology,IT Services,eMLi
ENDURANCE,Endurance Technologies Limited,Automotive,Manufacturing,EnTeLi
ENERGYDEV,Energy Development Company Limited,Energy,Utilities,EnDeCoLi
ENGINERSIN,Engineers India Limited,Engineering,Professional Services,EnInLi
ENIL,Entertainment Network (India) Limited,Media,Entertainment,EnNe_ILi
ENTERO,Entero Healthcare Solutions Limited,Healthcare,Pharmaceuticals,EnHeSoLi
EPACK,EPACK Durable Limited,Manufacturing,Industrial,EPDuLi
EPIGRAL,Epigral Limited,Biotechnology,Pharmaceuticals,EpLi
EPL,EPL Limited,Manufacturing,Industrial,EPLi
EQUIPPP,Equippp Social Impact Technologies Limited,Technology,IT Services,EqSoImTeLi
EQUITASBNK,Equitas Small Finance Bank Limited,Financial Services,Finance,EqSmFiBaLi
ERIS,Eris Lifesciences Limited,Healthcare,Pharmaceuticals,ErLiLi
EROSMEDIA,Eros International Media Limited,Media,Entertainment,ErInMeLi
ESABINDIA,Esab India Limited,Manufacturing,Industrial,EsInLi
ESAFSFB,ESAF Small Finance Bank Limited,Financial Services,Finance,ESSmFiBaLi
ESCORTS,Escorts Kubota Limited,Manufacturing,Automotive,EsKuLi
ESSARSHPNG,Essar Shipping Limited,Transportation,Logistics,EsShLi
ESSENTIA,Integra Essentia Limited,Manufacturing,Industrial,InEsLi
ESTER,Ester Industries Limited,Manufacturing,Industrial,EsInLi
ETHOSLTD,Ethos Limited,Retail,Consumer Goods,EtLi
EUROTEXIND,Eurotex Industries and Exports Limited,Manufacturing,Textiles,EuInanExLi
EVERREADY,Eveready Industries India Limited,Manufacturing,Consumer Goods,EvInInLi
EVERESTIND,Everest Industries Limited,Manufacturing,Construction,EvInLi
EXCEL,Excel Realty N Infra Limited,Real Estate,Real Estate,ExReNInLi
EXCELINDUS,Excel Industries Limited,Manufacturing,Chemicals,ExInLi
EXICOM,Exicom Tele-Systems Limited,Telecommunications,Technology,ExTeLi
EXIDEIND,Exide Industries Limited,Manufacturing,Automotive,ExInLi
EXPLEOSOL,Expleo Solutions Limited,IT Services,Technology,ExSoLi
EXXARO,Exxaro Tiles Limited,Manufacturing,Building Materials,ExTiLi
FACT,Fertilizers and Chemicals Travancore Limited,Agriculture,Chemicals,FeanChTrLi
FAIRCHEMOR,Fairchem Organics Limited,Manufacturing,Chemicals,FaOrLi
FAZE3Q,Faze Three Limited,Manufacturing,Textiles,FaThLi
FCL,Fineotex Chemical Limited,Manufacturing,Chemicals,FiChLi
FCONSUMER,Future Consumer Limited,Retail,Consumer Goods,FuCoLi
FCSSOFT,FCS Software Solutions Limited,IT Services,Technology,FCSoSoLi
FDC,FDC Limited,Pharmaceuticals,Healthcare,FDLi
FEDERALBNK,The Federal Bank Limited,Financial Services,Finance,ThFeBaLi
FEDFINA,Fedbank Financial Services Limited,Financial Services,Finance,FeFiSeLi
FEL,Future Enterprises Limited,Conglomerate,Various,FuEnLi
FELDVR,Future Enterprises Limited,Conglomerate,Various,FuEnLi
FIBERWEB,Fiberweb (India) Limited,Manufacturing,Textiles,Fi_ILi
FIEMIND,Fiem Industries Limited,Manufacturing,Automotive,FiInLi
FILATEX,Filatex India Limited,Manufacturing,Textiles,FiInLi
FINCABLES,Finolex Cables Limited,Manufacturing,Electrical,FiCaLi
FINEORG,Fine Organic Industries Limited,Manufacturing,Chemicals,FiOrInLi
FINOPB,Fino Payments Bank Limited,Financial Services,Finance,FiPaBaLi
FINPIPE,Finolex Industries Limited,Manufacturing,Chemicals,FiInLi
FIVESTAR,Five-Star Business Finance Limited,Financial Services,Finance,FiBuFiLi
FLAIR,Flair Writing Industries Limited,Manufacturing,Consumer Goods,FlWrInLi
FLEXITUFF,Flexituff Ventures International Limited,Manufacturing,Materials,FlVeInLi
FLFL,Future Lifestyle Fashions Limited,Retail,Consumer Goods,FuLiFaLi
FLUOROCHEM,Gujarat Fluorochemicals Limited,Chemicals,Materials,GuFlLi
FMGOETZE,Federal-Mogul Goetze (India) Limited,Manufacturing,Automotive,FeGo_ILi
FMNL,Future Market Networks Limited,Real Estate,Financial Services,FuMaNeLi
FOCUS,Focus Lighting and Fixtures Limited,Manufacturing,Consumer Goods,FoLianFiLi
FOODSIN,Foods & Inns Limited,Food Processing,Consumer Goods,Fo_InLi
FORCEMOT,FORCE MOTORS LTD,Automotive,Automotive,FOMOLT
FORTIS,Fortis Healthcare Limited,Healthcare,Health Services,FoHeLi
FOSECOIND,Foseco India Limited,Manufacturing,Materials,FoInLi
FRETAIL,Future Retail Limited,Retail,Consumer Goods,FuReLi
FSC,Future Supply Chain Solutions Limited,Logistics,Services,FuSuChSoLi
FSL,Firstsource Solutions Limited,IT Services,Technology,FiSoLi
FUSION,Fusion Micro Finance Limited,Financial Services,Finance,FuMiFiLi
GABRIEL,Gabriel India Limited,Manufacturing,Automotive,GaInLi
GAEL,Gujarat Ambuja Exports Limited,Agriculture,Consumer Goods,GuAmExLi
GAIL,GAIL (India) Limited,Natural Gas,Energy,GA_ILi
GALAXYSURF,Galaxy Surfactants Limited,Manufacturing,Chemicals,GaSuLi
GALLANTT,Gallantt Ispat Limited,Manufacturing,Materials,GaIsLi
GANDHAR,Gandhar Oil Refinery (India) Limited,Oil & Gas,Energy,GaOiRe_ILi
GANDHITUBE,Gandhi Special Tubes Limited,Manufacturing,Materials,GaSpTuLi
GANECOS,Ganesha Ecosphere Limited,Recycling,Materials,GaEcLi
GANESHBE,Ganesh Benzoplast Limited,Manufacturing,Chemicals,GaBeLi
GANESHHOUC,Ganesh Housing Corporation Limited,Real Estate,Financial Services,GaHoCoLi
GANGAFORGE,Ganga Forging Limited,Manufacturing,Materials,GaFoLi
GANGESSECU,Ganges Securities Limited,Financial Services,Finance,GaSeLi
GANGOTRI,Gangotri Textiles Limited,Textiles,Consumer Goods,GaTeLi
GARFIBRES,Garware Technical Fibres Limited,Manufacturing,Materials,GaTeFiLi
GATECH,GACM Technologies Limited,IT Services,Technology,GATeLi
GATECHDVR,GACM Technologies Limited,IT Services,Technology,GATeLi
GATEWAY,Gateway Distriparks Limited,Logistics,Services,GaDiLi
GAYAHWS,Gayatri Highways Limited,Infrastructure,Construction,GaHiLi
GAYAPROJ,Gayatri Projects Limited,Infrastructure,Construction,GaPrLi
GEECEE,GeeCee Ventures Limited,Manufacturing,Consumer Goods,GeVeLi
GEEKAYWIRE,Geekay Wires Limited,Manufacturing,Materials,GeWiLi
GENCON,Generic Engineering Construction and Projects Limited,Construction,Infrastructure,GeEnCoanPrLi
GENESYS,Genesys International Corporation Limited,IT Services,Technology,GeInCoLi
GENSOL,Gensol Engineering Limited,Engineering,Services,GeEnLi
GENUSPAPER,Genus Paper & Boards Limited,Manufacturing,Materials,GePa_BoLi
GENUSPOWER,Genus Power Infrastructures Limited,Energy,Energy,GePoInLi
GEOJITFSL,Geojit Financial Services Limited,Financial Services,Finance,GeFiSeLi
GEPIL,GE Power India Limited,Manufacturing,Energy,GEPoInLi
GESHIP,The Great Eastern Shipping Company Limited,Shipping,Transportation,ThGrEaShCoLi
GET&D,GE T&D India Limited,Manufacturing,Energy,GET_InLi
GFLLIMITED,GFL Limited,Chemicals,Materials,GFLi
GFSTEELS,Grand Foundry Limited,Manufacturing,Materials,GrFoLi
GHCL,GHCL Limited,Manufacturing,Chemicals,GHLi
GHCLTEXTIL,GHCL Textiles Limited,Textiles,Consumer Goods,GHTeLi
GICHSGFIN,GIC Housing Finance Limited,Financial Services,Finance,GIHoFiLi
GICRE,General Insurance Corporation of India,Financial Services,Insurance,GeInCoofIn
GILLANDERS,Gillanders Arbuthnot & Company Limited,Services,Diversified,GiAr_CoLi
GILLETTE,Gillette India Limited,Consumer Goods,Personal Care,GiInLi
GINNIFILA,Ginni Filaments Limited,Consumer Goods,Textiles,GiFiLi
GIPCL,Gujarat Industries Power Company Limited,Utilities,Power Generation,GuInPoCoLi
GKWLIMITED,GKW Limited,Manufacturing,Engineering,GKLi
GLAND,Gland Pharma Limited,Healthcare,Pharmaceuticals,GlPhLi
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Healthcare,Pharmaceuticals,GlPhLi
GLENMARK,Glenmark Pharmaceuticals Limited,Healthcare,Pharmaceuticals,GlPhLi
GLFL,Gujarat Lease Financing Limited,Financial Services,Finance,GuLeFiLi
GLOBAL,Global Education Limited,Education,Education Services,GlEdLi
GLOBALVECT,Global Vectra Helicorp Limited,Transportation,Aviation,GlVeHeLi
GLOBE,Globe Textiles (India) Limited,Consumer Goods,Textiles,GlTe_ILi
GLOBUSSPR,Globus Spirits Limited,Consumer Goods,Beverages,GlSpLi
GLS,Glenmark Life Sciences Limited,Healthcare,Pharmaceuticals,GlLiScLi
GMBREW,GM Breweries Limited,Consumer Goods,Beverages,GMBrLi
GMDCLTD,Gujarat Mineral Development Corporation Limited,Mining,Minerals,GuMiDeCoLi
GMMPFAUDLR,GMM Pfaudler Limited,Manufacturing,Industrial Equipment,GMPfLi
GMRINFRA,GMR Airports Infrastructure Limited,Infrastructure,Infrastructure,GMAiInLi
GMRP&UI,GMR Power and Urban Infra Limited,Infrastructure,Power Generation,GMPoanUrInLi
GNA,GNA Axles Limited,Manufacturing,Auto Components,GNAxLi
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,Chemicals,Fertilizers,GuNaVaFeanChLi
GOACARBON,Goa Carbon Limited,Materials,Chemicals,GoCaLi
GOCLCORP,GOCL Corporation Limited,Chemicals,Chemicals,GOCoLi
GOCOLORS,Go Fashion (India) Limited,Retail,Apparel,GoFa_ILi
GODFRYPHLP,Godfrey Phillips India Limited,Consumer Goods,Tobacco,GoPhInLi
GODHA,Godha Cabcon & Insulation Limited,Manufacturing,Electricals,GoCa_InLi
GODREJAGRO,Godrej Agrovet Limited,Consumer Goods,Agriculture,GoAgLi
GODREJCP,Godrej Consumer Products Limited,Consumer Goods,Household Products,GoCoPrLi
GODREJIND,Godrej Industries Limited,Diversified,Conglomerate,GoInLi
GODREJPROP,Godrej Properties Limited,Real Estate,Real Estate Development,GoPrLi
GOENKA,Goenka Diamond and Jewels Limited,Retail,Jewelry,GoDianJeLi
GOKEX,Gokaldas Exports Limited,Manufacturing,Textiles,GoExLi
GOKUL,Gokul Refoils and Solvent Limited,Manufacturing,Edible Oils,GoReanSoLi
GOKULAGRO,Gokul Agro Resources Limited,Agriculture,Agriculture,GoAgReLi
GOLDENTOBC,Golden Tobacco Limited,Consumer Goods,Tobacco,GoToLi
GOLDIAM,Goldiam International Limited,Manufacturing,Jewelry,GoInLi
GOLDTECH,AION-TECH SOLUTIONS LIMITED,Technology,Software,AISOLI
GOODLUCK,Goodluck India Limited,Consumer Goods,Textiles,GoInLi
GOPAL,Gopal Snacks Limited,Consumer Goods,Food Products,GoSnLi
GOYALALUM,Goyal Aluminiums Limited,Manufacturing,Metals,GoAlLi
GPIL,Godawari Power And Ispat Limited,Utilities,Power Generation,GoPoAnIsLi
GPPL,Gujarat Pipavav Port Limited,Transportation,Ports,GuPiPoLi
GPTHEALTH,GPT Healthcare Limited,Healthcare,Healthcare Services,GPHeLi
GPTINFRA,GPT Infraprojects Limited,Infrastructure,Infrastructure,GPInLi
GRANULES,Granules India Limited,Healthcare,Pharmaceuticals,GrInLi
GRAPHITE,Graphite India Limited,Manufacturing,Industrial,GrInLi
GRASIM,Grasim Industries Limited,Manufacturing,Cement,GrInLi
GRAVITA,Gravita India Limited,Manufacturing,Recycling,GrInLi
GREAVESCOT,Greaves Cotton Limited,Manufacturing,Engineering,GrCoLi
GREENLAM,Greenlam Industries Limited,Manufacturing,Wood Products,GrInLi
GREENPANEL,Greenpanel Industries Limited,Manufacturing,Building Materials,GrInLi
GREENPLY,Greenply Industries Limited,Manufacturing,Wood Products,GrInLi
GREENPOWER,Orient Green Power Company Limited,Energy,Renewable Energy,OrGrPoCoLi
GRINDWELL,Grindwell Norton Limited,Manufacturing,Industrial Products,GrNoLi
GRINFRA,G R Infraprojects Limited,Construction,Infrastructure,GRInLi
GRMOVER,GRM Overseas Limited,Manufacturing,Textiles,GROvLi
GROBTEA,The Grob Tea Company Limited,Manufacturing,Food & Beverage,ThGrTeCoLi
GRPLTD,GRP Limited,Manufacturing,Plastics,GRLi
GRSE,Garden Reach Shipbuilders & Engineers Limited,Manufacturing,Shipbuilding,GaReSh_EnLi
GRWRHITECH,Garware Hi-Tech Films Limited,Manufacturing,Plastics,GaHiFiLi
GSFC,Gujarat State Fertilizers & Chemicals Limited,Chemicals,Fertilizers,GuStFe_ChLi
GSLSU,Global Surfaces Limited,Manufacturing,Surfaces,GlSuLi
GSPL,Gujarat State Petronet Limited,Energy,Gas Supply,GuStPeLi
GSS,GSS Infotech Limited,IT Services,Technology,GSInLi
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,Education,Education,G-JAEDLI
GTL,GTL Limited,Telecommunications,Telecom Services,GTLi
GTLINFRA,GTL Infrastructure Limited,Telecommunications,Telecom Infrastructure,GTInLi
GTPL,GTPL Hathway Limited,Telecommunications,Cable Services,GTHaLi
GUFICBIO,Gufic Biosciences Limited,Healthcare,Pharmaceuticals,GuBiLi
GUJALKALI,Gujarat Alkalies and Chemicals Limited,Chemicals,Chemical Manufacturing,GuAlanChLi
GUJAPOLLO,Gujarat Apollo Industries Limited,Manufacturing,Construction Machinery,GuApInLi
GUJGASLTD,Gujarat Gas Limited,Energy,Gas Distribution,GuGaLi
GUJRAFFIA,Gujarat Raffia Industries Limited,Manufacturing,Plastics,GuRaInLi
GULFOILLUB,Gulf Oil Lubricants India Limited,Manufacturing,Lubricants,GuOiLuInLi
GULFPETRO,GP Petroleums Limited,Energy,Oil & Gas,GPPeLi
GULPOLY,Gulshan Polyols Limited,Manufacturing,Chemicals,GuPoLi
GVKPIL,GVK Power & Infrastructure Limited,Energy,Power Generation,GVPo_InLi
GVPTECH,GVP Infotech Limited,IT Services,Technology,GVInLi
HAL,Hindustan Aeronautics Limited,Aerospace,Aviation,HiAeLi
HAPPSTMNDS,Happiest Minds Technologies Limited,IT Services,Technology,HaMiTeLi
HAPPYFORGE,Happy Forgings Limited,Manufacturing,Engineering,HaFoLi
HARDWYN,Hardwyn India Limited,Manufacturing,Hardware,HaInLi
HARIOMPIPE,Hariom Pipe Industries Limited,Manufacturing,Pipes & Tubes,HaPiInLi
HARRMALAYA,Harrisons Malayalam Limited,Agriculture,Tea,HaMaLi
HARSHA,Harsha Engineers International Limited,Manufacturing,Engineering,HaEnInLi
HATHWAY,Hathway Cable & Datacom Limited,Telecommunications,Cable Services,HaCa_DaLi
HATSUN,Hatsun Agro Product Limited,Food & Beverage,Dairy,HaAgPrLi
HAVELLS,Havells India Limited,Manufacturing,Electrical Equipment,HaInLi
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,Hospitality,Hospitality,SrHaHoanInLi
HBLPOWER,HBL Power Systems Limited,Manufacturing,Electrical Equipment,HBPoSyLi
HBSL,HB Stockholdings Limited,Financial Services,Investment,HBStLi
HCC,Hindustan Construction Company Limited,Construction,Infrastructure,HiCoCoLi
HCC-RE,Hindustan Construction-RE,Construction,Real Estate,HiCo
HCG,Healthcare Global Enterprises Limited,Healthcare,Healthcare Services,HeGlEnLi
HCL-INSYS,HCL Infosystems Limited,IT Services,Technology,HCInLi
HCLTECH,HCL Technologies Limited,IT Services,Technology,HCTeLi
